Status,Date,Description,Debit,Credit
Cleared,01/07/2020,"MBTA MTICKET 617-222-3200 MA",11.00,
Cleared,01/07/2020,"SQ *SQ *SATE GRILL Cambridge MA",9.26,
Cleared,01/07/2020,"ANDPIZZA 2024505059 DC",5.35,
Cleared,01/07/2020,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.84,
Cleared,01/06/2020,"MBTA HARVARD BOSTON MA",90.00,
Cleared,01/06/2020,"CVS/PHARMACY #00240 CAMBRIDGE MA",2.25,
Cleared,01/06/2020,"UBER TRIP 8005928996 CA",13.36,
Cleared,01/05/2020,"MOATMOUNTAINSMOKEHOUSE NORTHCONWAY NH",26.79,
Cleared,01/05/2020,"MBTA MTICKET 617-222-3200 MA",11.00,
Cleared,01/02/2020,"ONLINE PAYMENT, THANK YOU",,-1629.13
Cleared,01/02/2020,"MARKET BASKET 00000257 PLAISTOW NH",36.42,
Cleared,01/02/2020,"WALGREENS #10378 EAST HAMPSTEA NH",8.99,
Cleared,12/31/2019,"GUITAR CENTER #510 NASHUA NH",567.96,
Cleared,12/31/2019,"ANDPIZZA 2024505059 DC",5.35,
Cleared,12/30/2019,"AMZN Mktp US*HE6EP2P83 Amzn.com/bill WA",26.95,
Cleared,12/27/2019,"TULLY S BEER & WINE WELLS ME",17.39,
Cleared,12/24/2019,"NH LIQUOR STORE #49 PLAISTOW NH",75.97,
Cleared,12/24/2019,"MARKET BASKET 00000257 PLAISTOW NH",17.67,
Cleared,12/24/2019,"STATELINE PET SUPPLY PLAISTOW NH",14.49,
Cleared,12/24/2019,"STAPLES 00109074 PLAISTOW NH",9.00,
Cleared,12/23/2019,"RITE AID STORE - 10298 PLAISTOW NH",7.43,
Cleared,12/22/2019,"Hennessy's Boston MA",21.26,
Cleared,12/22/2019,"Amazon Prime 8665572820 WA",,-1.00
Cleared,12/21/2019,"MAHONEYS GARDEN CENTER BRIGHTON MA",25.47,
Cleared,12/20/2019,"STEREO JACKS RECORDS CAMBRIDGE MA",49.08,
Cleared,12/20/2019,"SQUARE *SQ *ABODE Cambridge MA",36.66,
Cleared,12/20/2019,"SQU*SQ *CURIO SPICE CO Cambridge MA",36.63,
Cleared,12/20/2019,"CVS/PHARMACY #08319 SOMERVILLE MA",23.36,
Cleared,12/20/2019,"Amazon.com*7532M4NX3 Amzn.com/bill WA",11.53,
Cleared,12/19/2019,"CVS/PHARMACY #00240 CAMBRIDGE MA",39.95,
Cleared,12/19/2019,"MAGPIE SOMERVILLE MA",10.63,
Cleared,12/18/2019,"Amazon Prime*7Y8Z84OS3 8665572820 WA",1.99,
Cleared,12/18/2019,"CVS/PHARMACY #00240 CAMBRIDGE MA",2.96,
Cleared,12/18/2019,"SQUARE *SQ *SA PA Boston MA",11.00,
Cleared,12/17/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.37,
Cleared,12/17/2019,"AMZN Mktp US*CL73N0133 Amzn.com/bill WA",11.67,
Cleared,12/16/2019,"ZINNEKENS CAMBRIDGE MA",6.96,
Cleared,12/15/2019,"TST* GOURMET INDIA - B BOSTON MA",8.00,
Cleared,12/14/2019,"DOG HOUSE BOSTON MA",5.35,
Cleared,12/14/2019,"AMZN MKTP US*1M37C19F3 AMZN.COM/BILL WA",16.99,
Cleared,12/14/2019,"BROADSIDE BOSTON MA",24.26,
Cleared,12/14/2019,"BELL IN HAND TAVERN BOSTON MA",29.68,
Cleared,12/14/2019,"BELL IN HAND TAVERN BOSTON MA",31.89,
Cleared,12/13/2019,"AMAZON.COM*X399867X3 A AMZN.COM/BILL WA",24.62,
Cleared,12/11/2019,"AMZN MKTP US*OT1LO79C3 AMZN.COM/BILL WA",10.61,
Cleared,12/11/2019,"AUGUSTA SUBS BILLERICA MA",12.31,
Cleared,12/11/2019,"TARGET 00032227 CAMBRIDGE MA",19.83,
Cleared,12/10/2019,"Amazon.com*8Q9QG9SJ3 Amzn.com/bill WA",12.31,
Cleared,12/10/2019,"SUR LA TABLE #123 BOSTON MA",15.94,
Cleared,12/08/2019,"TST* AREA FOUR RESTAUR CAMBRIDGE MA",9.37,
Cleared,12/08/2019,"Blizzard Entertainment Irvine CA",14.99,
Cleared,12/08/2019,"AMZN Mktp US*ZH20W4W93 Amzn.com/bill WA",30.79,
Cleared,12/07/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",11.43,
Cleared,12/07/2019,"T J MAXX #1447 BOSTON MA",60.04,
Cleared,12/07/2019,"MUJI NEWBURY 617502117 BOSTON MA",94.80,
Cleared,12/06/2019,"SQ *SQ *SOWA BOSTO Boston MA",11.50,
Cleared,12/06/2019,"SQ *SQ *ALEPPO PALACE Cambridge MA",19.69,
Cleared,12/06/2019,"SQ *SQ *THE HAPPY CACT BOSTON MA",38.25,
Cleared,12/05/2019,"ONLINE PAYMENT, THANK YOU",,-1283.35
Cleared,12/05/2019,"TM *THUNDERCAT 800-653-8000 CA",74.35,
Cleared,12/04/2019,"H MART CAMBRIDGE LLC CAMBRIDGE MA",11.40,
Cleared,12/03/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,12/03/2019,"AMZN Mktp US*5Q96J9DR3 Amzn.com/bill WA",60.56,
Cleared,12/03/2019,"TRADER JOE'S #502 QPS CAMBRIDGE MA",161.83,
Cleared,12/02/2019,"SP * FORSAKE BOSTON MA",104.95,
Cleared,12/02/2019,"MBTA HARVARD CAMBRIDGE MA",90.00,
Cleared,12/01/2019,"SQ *SQ *ALEPPO PALACE Cambridge MA",10.69,
Cleared,12/01/2019,"SQU*SQ *THE PEOPLE'S R Cambridge MA",13.20,
Cleared,12/01/2019,"WHOLEFDS RVR 10113 CAMBRIDGE MA",96.62,
Cleared,11/30/2019,"GREEN STREET CAMBRIDGE MA",12.00,
Cleared,11/29/2019,"RENYS WELLS -9464 WELLS ME",28.47,
Cleared,11/29/2019,"PASTA LOFT E HAMPSTEAD E HAMPSTEAD NH",7.54,
Cleared,11/29/2019,"JAMISONS HAMPSTEAD NH",19.71,
Cleared,11/27/2019,"NH LIQUOR STORE #49 PLAISTOW NH",21.99,
Cleared,11/26/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.70,
Cleared,11/26/2019,"SQ *SQ *GOGI ON THE BL Lexington MA",10.70,
Cleared,11/26/2019,"THE CITY TOBACCO & BEV PLAISTOW NH",13.99,
Cleared,11/25/2019,"BM DUMPLING HOUSE 6307763590 IL",30.69,
Cleared,11/25/2019,"WHOLEFDS RVR 10113 CAMBRIDGE MA",20.00,
Cleared,11/24/2019,"TST* EL JEFE'S TAQUERI CAMBRIDGE MA",9.09,
Cleared,11/23/2019,"SCHOLAR&APOS;S BOSTON MA",6.35,
Cleared,11/23/2019,"SCHOLAR&APOS;S BOSTON MA",25.68,
Cleared,11/20/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,11/19/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,11/17/2019,"TST* TRILLIUM BREWING BOSTON MA",8.49,
Cleared,11/17/2019,"TST* TRILLIUM BREWING BOSTON MA",11.23,
Cleared,11/17/2019,"Amazon Prime 8665572820 WA",12.99,
Cleared,11/17/2019,"TARGET 00032227 CAMBRIDGE MA",26.89,
Cleared,11/17/2019,"TST* CAPO SOUTH BOSTON SOUTH BOSTON MA",61.24,
Cleared,11/16/2019,"TST* LOLITA COCINA & T BOSTON MA",49.08,
Cleared,11/16/2019,"The Green Dragon Boston MA",11.70,
Cleared,11/16/2019,"GREEN STREET CAMBRIDGE MA",46.87,
Cleared,11/15/2019,"AMZN MKTP US*Q85IO03M3 AMZN.COM/BILL WA",95.50,
Cleared,11/14/2019,"AMZN MKTP US*L66H83GF3 AMZN.COM/BILL WA",5.30,
Cleared,11/14/2019,"SQ *SQ *MOYZILLA LLC Canton MA",10.70,
Cleared,11/13/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,11/12/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",7.75,
Cleared,11/11/2019,"ONLINE PAYMENT, THANK YOU",,-791.99
Cleared,11/10/2019,"TST*PAPAGINOS 0318 PLA PLAISTOW NH",39.65,
