Status,Date,Description,Debit,Credit
Cleared,10/29/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.70,
Cleared,10/28/2019,"CVS/PHARMACY #00240 CAMBRIDGE MA",9.58,
Cleared,10/26/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.43,
Cleared,10/25/2019,"FELIPES TAQUERIA CAMBRIDGE MA",11.71,
Cleared,10/25/2019,"TST* DARWIN S LTD. - P CAMBRIDGE MA",12.76,
Cleared,10/24/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,10/23/2019,"WHISKEY STEAKHOUSE&SAL BOSTON MA",24.50,
Cleared,10/23/2019,"TRADER JOE'S #502 QPS CAMBRIDGE MA",11.36,
Cleared,10/22/2019,"SOMERVILLE THEATRE SOMERVILLE MA",24.00,
Cleared,10/22/2019,"SOFAR SOUNDS LLC 6468465019 NY",20.00,
Cleared,10/22/2019,"MBTA MTICKET 617-222-3200 MA",7.00,
Cleared,10/20/2019,"9 TASTES CAMBRIDGE MA",21.24,
Cleared,10/20/2019,"TST* EL JEFE'S TAQUERI CAMBRIDGE MA",9.37,
Cleared,10/19/2019,"DUNKIN #352979 Q35 CAMBRIDGE MA",17.03,
Cleared,10/18/2019,"AMZN Mktp US*DK7PS4A73 Amzn.com/bill WA",31.82,
Cleared,10/18/2019,"UNIVERSITY MARKET CAMBRIDGE MA",12.13,
Cleared,10/18/2019,"AMZN Mktp US*NU7HD7BX3 Amzn.com/bill WA",5.29,
Cleared,10/17/2019,"Amazon Prime 8665572820 WA",12.99,
Cleared,10/17/2019,"TARGET 00032227 CAMBRIDGE MA",31.50,
Cleared,10/17/2019,"AMZN Mktp US*J514W7MY3 Amzn.com/bill WA",47.76,
Cleared,10/16/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",9.37,
Cleared,10/16/2019,"BBC CAMBRIDGE CAMBRIDGE MA",31.23,
Cleared,10/15/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.70,
Cleared,10/13/2019,"ONLINE PAYMENT, THANK YOU",,-1351.57
Cleared,10/13/2019,"MCDONALD'S F26674 WINDHAM NH",4.67,
Cleared,10/13/2019,"EXXONMOBIL 48142574 HAMPSTEAD NH",23.99,
Cleared,10/13/2019,"BED BATH & BEYOND #129 PLAISTOW NH",46.96,
Cleared,10/12/2019,"TST* REVIVAL CAFE - AL CAMBRIDGE MA",10.43,
Cleared,10/09/2019,"AMZN Mktp US*GL3OF9403 Amzn.com/bill WA",4.24,
Cleared,10/09/2019,"AMZN Mktp US*6R4C17P03 Amzn.com/bill WA",50.97,
Cleared,10/04/2019,"DANA HILL LIQUORS CAMBRIDGE MA",38.99,
Cleared,10/03/2019,"TRADER JOE'S #502 QPS CAMBRIDGE MA",22.03,
Cleared,10/02/2019,"Blizzard Entertainment Irvine CA",14.99,
Cleared,10/02/2019,"DUMPLING HOUSE CAMBRIDGE MA",46.29,
Cleared,10/01/2019,"SQ *SQ *GOGI ON THE BL Lexington MA",9.63,
Cleared,10/01/2019,"MBTA HARVARD CAMBRIDGE MA",90.00,
Cleared,09/30/2019,"ZAAKI DEDHAM MA",12.28,
